cand_id,tier,true_t_spike,true_ell_spike,hat_t_spike,hat_ell_spike,sd_t_spike,sd_ell_spike,n_trials_spike,decision_spike,true_t_seizure,true_ell_seizure,hat_t_seizure,hat_ell_seizure,sd_t_seizure,sd_ell_seizure,n_trials_seizure,decision_seizure,true_t_lpd,true_ell_lpd,hat_t_lpd,hat_ell_lpd,sd_t_lpd,sd_ell_lpd,n_trials_lpd,decision_lpd,true_t_gpd,true_ell_gpd,hat_t_gpd,hat_ell_gpd,sd_t_gpd,sd_ell_gpd,n_trials_gpd,decision_gpd,true_t_lrda,true_ell_lrda,hat_t_lrda,hat_ell_lrda,sd_t_lrda,sd_ell_lrda,n_trials_lrda,decision_lrda,true_t_grda,true_ell_grda,hat_t_grda,hat_ell_grda,sd_t_grda,sd_ell_grda,n_trials_grda,decision_grda,n_trials_total
119,novice,0.09732426676988343,0.0502217170304991,-0.19462154288727268,0.18428546684901675,0.19552020210644983,0.27076560005253075,24,fail,0.3952616003544602,0.4230439080180872,0.04288015184774601,0.2033405335615962,0.39489315539391295,0.4022811705347557,10,fail,-0.41205644793732576,-0.30218655292796176,-0.1659514293192624,0.26617590124138063,0.09620737751997124,0.12968004250687976,120,refer,0.025447197127066952,0.43330604813500195,0.027450913508088048,0.7744201489750897,0.18502503041951313,0.29757849557377164,21,pass,-0.5163595683331518,0.32846089995138705,-0.13496420705481046,0.927706337282422,0.18946029004273063,0.44522952102441415,10,pass,-0.016694899504203886,0.029243092044605068,0.029049620750386338,0.5289616103307575,0.07997779342226143,0.12655457034178255,120,refer,305
120,novice,0.12738477488197383,0.6437732018199651,0.1144186998290588,0.9269204549611685,0.07907814981033225,0.15875126031899747,82,pass,0.24582683222537632,-0.6042436456082023,0.054898797700663145,0.29483758861532766,0.2199543646225293,0.38534380994776357,12,fail,0.13521370760662035,0.09941587267201524,0.16898333759885004,0.8130013334174007,0.15525840874840918,0.26125498891468646,32,pass,0.15773020763295742,0.20936559981315403,0.10651038907088993,0.7008206011932046,0.15099385187466127,0.2603701128466559,28,pass,0.5694893590988175,0.3704235209319029,0.2104536172892264,0.8092902189841842,0.2240256976225229,0.4224978676867259,11,pass,-0.1317532929050454,0.5601866575257564,-0.0939146406372241,0.7425345721446075,0.06880244282226923,0.12893026248883194,120,refer,285
121,novice,0.31640256599718164,0.41377011817069265,0.1415434497260394,0.7927018889679284,0.0740741243588167,0.13280908340253486,120,refer,-0.05539575365762463,-0.04614805332263883,-0.5616941982659999,0.05960541900029485,0.3447869339420453,0.41451661142510116,10,fail,0.2679674274210096,0.14285645594713425,-0.09053918002542634,0.8734567951858759,0.17122058306840032,0.28709211337648405,25,pass,0.10907891788981348,0.1929582818693666,-0.021532617998322314,0.7329054551546353,0.16459101516145375,0.2780689048347049,27,pass,0.19952724934410776,0.3449809438774266,-0.011930861979606308,1.4278861717330056,0.16544919419917714,0.45674862704923125,10,pass,0.45542681043483085,0.035162972692397654,0.21851700468279542,0.3787531449171806,0.080792344703481,0.13763382171385788,99,fail,291
122,novice,-0.831655480467,0.09980419161183962,-0.4716248626137063,0.3750278731488883,0.11091952084924601,0.1575000346628402,78,fail,-0.47816431217476957,0.1213366204078831,-0.2641195846285758,0.5027027115181982,0.14278908298384754,0.2618497140491686,28,fail,-0.21482636626048543,0.16038025850302856,0.09227478895884154,1.1256174720124499,0.15656561835081628,0.4169834897768748,12,pass,0.19049001140565136,0.10110463452346599,0.0251506917564266,0.711145117142184,0.1756372609522058,0.26893706038441223,28,pass,-0.23510243500405253,1.139182169041081,0.1448850229743715,1.0774853759375758,0.1758474156042769,0.4349768191583364,10,pass,-0.052037321965557985,0.3240311075460863,-0.05265178616780098,0.4785697092005885,0.07882910651097662,0.13183523348942025,120,refer,276
123,novice,-0.3225109055138292,0.47480371998383786,-0.1201711214050561,0.7347931854057714,0.0702853389372056,0.1301196004892048,120,refer,-0.3805333010975536,1.0276841264139933,-0.21682653233924293,0.8247381961367003,0.06267834132366482,0.12694532157457417,120,refer,0.4383436587952604,0.39865805609921146,0.2615320024227497,0.7204121605107392,0.1297053445951308,0.21673480963952615,41,pass,-0.03189379859019883,0.7651785050429211,-0.2257168641045401,1.133166934686716,0.19853610930483748,0.4327175087490035,10,pass,-0.6167732998499647,0.39158546857275106,-0.5321976614930897,0.6553404575786346,0.17980428487429934,0.3053549890141108,23,pass,-0.05534718702429256,0.22547616937259612,0.03652587878663171,0.503539015859094,0.07485351693950229,0.1266108704034987,120,refer,434
124,novice,0.2993316438413365,-0.13170535587085086,0.22747745741007325,0.2211482001888053,0.15219962204771187,0.2364235275774455,34,fail,-0.11279771541128653,-0.04556946136617496,-0.15641111450074396,0.5438468202667228,0.10425610652771419,0.24340736085213707,32,fail,0.009547944033392002,-0.2363315714932645,0.1381400041389397,0.6462788909837145,0.11596900881916532,0.16825238447408272,69,pass,0.6117740607248454,0.20357126777223067,0.27008455074910925,0.6621708584947256,0.16618522976909064,0.24068361399523697,33,pass,0.4695841578355707,0.12647026914480342,0.1885047477387467,0.5487847724356322,0.20301384578502216,0.2638162431038787,27,pass,0.22550424195091445,0.09050466051690792,0.11288069097800414,0.5015224849356443,0.07627671070500221,0.12449233541335045,120,refer,315
125,novice,-0.10084410972428037,0.32747244661043495,-0.07433687415355424,0.6806114653165032,0.07443751254043719,0.12933999482188105,120,refer,0.1802067906415255,-0.269011607715856,-0.027116602826284163,0.12378550918841685,0.278406338887047,0.4074125802255482,10,fail,-0.7069063921932788,0.41079995150596854,-0.35043260905359014,0.8683237995568224,0.15153501318788068,0.30577657429554556,21,pass,-0.1502516673820972,0.6521039656557133,-0.07792851643946219,0.9400446046977152,0.210222781099698,0.410219934848733,11,pass,0.20226432460342847,-0.13318747836447287,-0.11937810447103661,-0.579942931445734,0.2339776859778527,0.3549289606573373,14,fail,0.15945646916900502,0.3170196733270059,0.17992573522242247,0.859493071741017,0.07911015186602703,0.14646674602245016,89,pass,265
126,novice,0.0670399442883811,0.19517343182484187,0.1286043107430085,0.15180125129943864,0.13460813090428475,0.2437840339519619,32,fail,0.08881733527303383,-0.13932818706604655,-0.25443349576650615,0.1131281348463973,0.20469009989512335,0.3999972114858423,11,fail,-0.4692057985583131,0.3626285959310841,-0.2698140929313579,0.9204863953724358,0.16011798893558304,0.3304362542811606,17,pass,-0.3051453001105534,0.010584852616397356,-0.024468242121234177,0.6428637390209185,0.1488030839012613,0.2227432981316287,39,pass,-0.20799474629067005,0.6308807600410048,-0.09152547377060087,0.7559577087169871,0.20327792449967735,0.41566669505887505,11,pass,0.1166977049476866,0.16038933091922655,0.030757224669890892,0.35862281271664703,0.10653168985992759,0.15654196176664936,78,fail,188
127,novice,-0.2714756219289935,1.2343402201522762,-0.13185917932163577,0.9611336837719455,0.08915160101243041,0.18375403424349016,58,pass,0.1376883771046261,0.3968971490380228,0.14946501750799882,0.716282470411239,0.08051660574878981,0.15189001073080055,86,fail,-0.3519310360456093,0.6246876682994471,-0.16406023258844749,1.158296331081232,0.1429559224014591,0.4585195165152724,10,pass,-0.27663258171690974,0.7544762227837156,-0.14774873461734994,1.136077081694953,0.12662676560984323,0.4655269797507552,10,pass,0.006304872724718142,0.676630584988257,-0.06021770894149463,0.785838185820584,0.14175196824725034,0.38593672517792105,13,pass,0.8871818998544075,0.3581318575724637,0.368229797789447,0.7362293560675387,0.0708957211539933,0.12527778504608886,120,refer,297
128,novice,-0.042886637145269815,-0.17526316993984364,0.03648572679049212,0.6509601309430971,0.07449268334484384,0.12835643354779339,120,refer,0.5123049766089177,-0.0034614411285116553,0.36594520118171053,0.3172298824021191,0.27001906815210913,0.3906318435340546,12,fail,0.20870525167958573,0.24745169214395263,0.16969016184350008,1.1135090189163956,0.17316572883395645,0.4478373685148183,10,pass,-0.59677370320029,0.02303764226171562,-0.17559803691127238,0.6919936318618986,0.1306075818616679,0.24239770091759086,31,pass,0.6098812586190099,0.1705150178888298,-0.02463043312677046,1.0231313788128613,0.22038826960838373,0.4395186352499074,10,pass,0.0003727033004709565,-0.04253368396017848,-0.059966238877824866,0.30076149505182653,0.11297727366294187,0.17370614852283198,68,fail,251
