b,max_q,offset,seed,n_questions,resolved,stop_reason,min_npt,max_npt
100,300,-0.8,99104,299,6,all_active_resolved,20,100
100,300,-0.8,99105,183,7,all_resolved,20,36
100,300,-0.8,99106,227,7,all_resolved,20,85
100,300,-0.8,99107,190,7,all_resolved,20,45
100,300,-0.8,99108,288,7,all_resolved,22,111
100,300,-0.8,99109,225,7,all_resolved,20,76
100,300,-0.8,99110,207,7,all_resolved,20,69
100,300,-0.8,99111,145,7,all_resolved,20,23
100,300,0.8,99112,300,5,bank_exhausted,20,98
100,300,0.8,99113,300,1,bank_exhausted,20,100
100,300,0.8,99114,264,7,all_resolved,26,72
100,300,0.8,99115,300,5,bank_exhausted,21,100
100,300,0.8,99116,300,4,bank_exhausted,28,57
100,300,0.8,99117,284,6,all_active_resolved,20,100
100,300,0.8,99118,300,4,bank_exhausted,20,100
100,300,0.8,99119,229,7,all_resolved,24,54
100,300,0.8,99120,300,1,bank_exhausted,21,100
100,300,0.8,99121,300,6,bank_exhausted,20,94
100,300,0.8,99122,300,3,bank_exhausted,20,100
100,300,0.8,99123,300,2,bank_exhausted,17,100
100,300,0.8,99124,300,5,bank_exhausted,21,82
100,300,0.8,99125,300,0,bank_exhausted,21,100
100,300,0.8,99126,300,1,bank_exhausted,28,100
100,300,0.8,99127,300,3,bank_exhausted,24,100
100,500,-0.8,99128,249,7,all_resolved,20,71
100,500,-0.8,99129,297,6,all_active_resolved,21,100
100,500,-0.8,99130,301,6,all_active_resolved,20,100
100,500,-0.8,99131,172,7,all_resolved,20,32
100,500,-0.8,99132,370,6,all_active_resolved,20,115
100,500,-0.8,99133,196,7,all_resolved,20,57
100,500,-0.8,99134,245,6,all_active_resolved,20,100
100,500,-0.8,99135,146,7,all_resolved,20,26
100,500,-0.8,99136,267,6,all_active_resolved,20,100
100,500,-0.8,99137,151,7,all_resolved,20,28
100,500,-0.8,99138,259,7,all_resolved,20,75
100,500,-0.8,99139,179,7,all_resolved,20,36
100,500,-0.8,99140,199,7,all_resolved,20,39
100,500,-0.8,99141,426,6,all_active_resolved,22,110
100,500,-0.8,99142,228,7,all_resolved,20,62
100,500,-0.8,99143,288,7,all_resolved,20,157
100,500,0.8,99144,391,6,all_active_resolved,20,147
100,500,0.8,99145,278,6,all_active_resolved,20,100
100,500,0.8,99146,500,6,bank_exhausted,22,202
100,500,0.8,99147,381,6,all_active_resolved,21,100
100,500,0.8,99148,206,7,all_resolved,20,50
100,500,0.8,99149,448,6,all_active_resolved,47,100
100,500,0.8,99150,395,6,all_active_resolved,25,105
100,500,0.8,99151,389,7,all_resolved,21,98
100,500,0.8,99152,354,7,all_resolved,23,98
100,500,0.8,99153,500,5,bank_exhausted,21,170
100,500,0.8,99154,500,6,bank_exhausted,25,152
100,500,0.8,99155,396,6,all_active_resolved,24,100
100,500,0.8,99156,489,7,all_resolved,32,135
100,500,0.8,99157,354,6,all_active_resolved,23,100
100,500,0.8,99158,278,7,all_resolved,20,96
100,500,0.8,99159,500,5,bank_exhausted,22,188
100,700,-0.8,99160,156,7,all_resolved,20,27
100,700,-0.8,99161,243,6,all_active_resolved,20,100
100,700,-0.8,99162,149,7,all_resolved,20,28
100,700,-0.8,99163,339,6,all_active_resolved,20,100
100,700,-0.8,99164,247,6,all_active_resolved,20,100
100,700,-0.8,99165,217,7,all_resolved,20,78
100,700,-0.8,99166,179,7,all_resolved,20,40
100,700,-0.8,99167,194,7,all_resolved,20,50
100,700,-0.8,99168,159,7,all_resolved,20,26
100,700,-0.8,99169,365,6,all_active_resolved,20,122
100,700,-0.8,99170,439,7,all_resolved,22,99
100,700,-0.8,99171,203,7,all_resolved,20,56
100,700,-0.8,99172,187,7,all_resolved,20,48
100,700,-0.8,99173,194,7,all_resolved,20,47
100,700,-0.8,99174,176,7,all_resolved,20,40
100,700,-0.8,99175,173,7,all_resolved,20,50
100,700,0.8,99176,700,5,bank_exhausted,32,315
100,700,0.8,99177,443,7,all_resolved,27,150
100,700,0.8,99178,388,7,all_resolved,23,145
100,700,0.8,99179,346,7,all_resolved,21,107
100,700,0.8,99180,216,7,all_resolved,20,63
100,700,0.8,99181,244,7,all_resolved,22,88
100,700,0.8,99182,700,5,bank_exhausted,29,223
100,700,0.8,99183,339,6,all_active_resolved,20,100
100,700,0.8,99184,700,3,bank_exhausted,32,171
100,700,0.8,99185,400,6,all_active_resolved,20,160
100,700,0.8,99186,552,6,all_active_resolved,30,146
100,700,0.8,99187,443,7,all_resolved,24,105
100,700,0.8,99188,395,6,all_active_resolved,21,139
100,700,0.8,99189,207,7,all_resolved,20,48
100,700,0.8,99190,332,6,all_active_resolved,20,100
100,700,0.8,99191,223,7,all_resolved,20,55
150,300,-0.8,99192,270,7,all_resolved,20,64
150,300,-0.8,99193,277,7,all_resolved,20,72
150,300,-0.8,99194,300,4,bank_exhausted,20,150
150,300,-0.8,99195,160,7,all_resolved,20,30
150,300,-0.8,99196,300,7,all_resolved,20,80
150,300,-0.8,99197,209,7,all_resolved,21,65
150,300,-0.8,99198,192,7,all_resolved,20,46
150,300,-0.8,99199,300,5,bank_exhausted,21,132
150,300,-0.8,99200,218,7,all_resolved,20,86
150,300,-0.8,99201,217,7,all_resolved,20,77
150,300,-0.8,99202,173,7,all_resolved,20,35
150,300,-0.8,99203,232,7,all_resolved,20,65
150,300,-0.8,99204,235,7,all_resolved,20,64
150,300,-0.8,99205,187,7,all_resolved,20,45
150,300,-0.8,99206,174,7,all_resolved,20,41
150,300,-0.8,99207,284,7,all_resolved,20,72
150,300,0.8,99208,300,4,bank_exhausted,26,67
150,300,0.8,99209,300,4,bank_exhausted,20,150
150,300,0.8,99210,244,7,all_resolved,22,85
150,300,0.8,99211,300,6,bank_exhausted,22,87
150,300,0.8,99212,300,1,bank_exhausted,19,150
150,300,0.8,99213,294,6,all_active_resolved,20,150
150,300,0.8,99214,300,6,bank_exhausted,20,94
150,300,0.8,99215,289,7,all_resolved,20,85
150,300,0.8,99216,300,0,bank_exhausted,17,150
150,300,0.8,99217,300,1,bank_exhausted,19,150
150,300,0.8,99218,300,2,bank_exhausted,17,145
150,300,0.8,99219,300,1,bank_exhausted,18,150
150,300,0.8,99220,300,4,bank_exhausted,20,112
150,300,0.8,99221,300,4,bank_exhausted,20,150
150,300,0.8,99222,300,2,bank_exhausted,19,150
150,300,0.8,99223,300,6,bank_exhausted,21,74
150,500,-0.8,99224,216,7,all_resolved,20,61
150,500,-0.8,99225,230,7,all_resolved,20,72
150,500,-0.8,99226,176,7,all_resolved,20,30
150,500,-0.8,99227,168,7,all_resolved,20,45
150,500,-0.8,99228,223,7,all_resolved,20,74
150,500,-0.8,99229,219,7,all_resolved,20,56
150,500,-0.8,99230,298,7,all_resolved,22,81
150,500,-0.8,99231,276,7,all_resolved,20,70
150,500,-0.8,99232,140,7,all_resolved,20,20
150,500,-0.8,99233,233,7,all_resolved,21,99
150,500,-0.8,99234,288,7,all_resolved,23,110
150,500,-0.8,99235,299,7,all_resolved,20,140
150,500,-0.8,99236,165,7,all_resolved,20,36
150,500,-0.8,99237,216,7,all_resolved,20,71
150,500,-0.8,99238,177,7,all_resolved,20,37
150,500,-0.8,99239,197,7,all_resolved,20,46
150,500,0.8,99240,346,7,all_resolved,27,108
150,500,0.8,99241,374,6,all_active_resolved,26,150
150,500,0.8,99242,299,7,all_resolved,27,79
150,500,0.8,99243,277,7,all_resolved,21,70
150,500,0.8,99244,461,6,all_active_resolved,20,150
150,500,0.8,99245,447,6,all_active_resolved,35,150
150,500,0.8,99246,500,5,bank_exhausted,24,150
150,500,0.8,99247,414,6,all_active_resolved,25,150
150,500,0.8,99248,466,7,all_resolved,20,111
150,500,0.8,99249,467,6,all_active_resolved,20,156
150,500,0.8,99250,320,7,all_resolved,20,92
150,500,0.8,99251,356,6,all_active_resolved,22,150
150,500,0.8,99252,410,6,all_active_resolved,21,150
150,500,0.8,99253,252,7,all_resolved,20,55
150,500,0.8,99254,406,6,all_active_resolved,20,150
150,500,0.8,99255,350,7,all_resolved,30,76
150,700,-0.8,99256,259,7,all_resolved,20,88
150,700,-0.8,99257,259,7,all_resolved,20,93
150,700,-0.8,99258,170,7,all_resolved,20,35
150,700,-0.8,99259,237,7,all_resolved,20,114
150,700,-0.8,99260,147,7,all_resolved,20,26
150,700,-0.8,99261,166,7,all_resolved,20,32
150,700,-0.8,99262,367,7,all_resolved,20,150
150,700,-0.8,99263,153,7,all_resolved,20,27
150,700,-0.8,99264,322,7,all_resolved,20,150
150,700,-0.8,99265,161,7,all_resolved,20,35
150,700,-0.8,99266,174,7,all_resolved,20,41
150,700,-0.8,99267,209,7,all_resolved,20,58
150,700,-0.8,99268,188,7,all_resolved,20,57
150,700,-0.8,99269,369,7,all_resolved,22,170
150,700,-0.8,99270,281,7,all_resolved,20,96
150,700,-0.8,99271,209,7,all_resolved,20,66
150,700,0.8,99272,322,6,all_active_resolved,20,150
150,700,0.8,99273,700,5,bank_exhausted,23,303
150,700,0.8,99274,298,7,all_resolved,20,81
150,700,0.8,99275,625,7,all_resolved,26,210
150,700,0.8,99276,433,6,all_active_resolved,20,150
150,700,0.8,99277,223,7,all_resolved,20,64
150,700,0.8,99278,409,7,all_resolved,27,180
150,700,0.8,99279,358,7,all_resolved,25,142
150,700,0.8,99280,175,7,all_resolved,20,36
150,700,0.8,99281,662,6,all_active_resolved,24,323
150,700,0.8,99282,346,6,all_active_resolved,20,150
150,700,0.8,99283,438,6,all_active_resolved,20,150
150,700,0.8,99284,505,7,all_resolved,27,170
150,700,0.8,99285,475,6,all_active_resolved,26,150
150,700,0.8,99286,286,7,all_resolved,21,71
150,700,0.8,99287,384,7,all_resolved,20,150
