arm,level,concord,seed,n_ad6,stop_reason,n_joint_shadow,terminal_post_corr,t1_max_dev,verdicts,true_l
OFF,-0.6,concordant,55024,295,all_resolved,,-0.007363351050110624,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55025,188,all_resolved,,0.007475213291105345,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55025,194,all_resolved,,0.005069285095242153,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55026,190,all_resolved,,0.04278854541101271,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55026,300,bank_exhausted,,0.01983583358422242,0.0,FAIL|FAIL|FAIL|FAIL|REFER_BORDERLINE|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55027,179,all_resolved,,0.014687444612045655,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55027,183,all_resolved,,-0.0076326428581399335,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55028,214,all_resolved,,-0.004245069388632526,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55028,184,all_resolved,,0.013130912082842137,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55029,300,bank_exhausted,,0.0230944222414668,0.0,FAIL|REFER_BORDERLINE|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55029,196,all_resolved,,-0.031324650096515846,0.0,FAIL|PASS|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
