seg_id,s_mean,n_raters,pos_rate
20796,-0.8168990281081961,5,0.0
20797,-0.7628043279090435,3,0.0
20798,-0.7628043279090435,3,0.0
20800,-0.7628040322012064,3,0.0
20802,-0.7661444913975686,3,0.0
20804,-0.7628356948582784,3,0.0
20806,-0.7901237580665447,3,0.0
20807,-0.7901237580665447,3,0.0
20808,-0.7901237580665447,3,0.0
20810,-0.7628042285461515,3,0.0
20811,-0.7628040776439197,3,0.0
20814,-0.7628042130959488,3,0.0
20816,-0.7628046443833206,3,0.0
20818,-0.7628040920536161,3,0.0
20819,-0.8436866567851314,12,0.0
20821,-0.8449219139051592,18,0.0
20822,-0.7628046443833206,3,0.0
20826,-0.7661444913975686,3,0.0
20829,-0.7901237580665447,3,0.0
20830,-0.7628043771778629,3,0.0
20831,-0.7628043771778629,3,0.0
20833,-0.8436916318507918,13,0.0
20834,-0.5698827115528197,18,0.6666666666666666
20835,-0.7628041745814542,3,0.0
20836,-0.7628041745814542,3,0.0
20837,-0.7628041745814542,3,0.0
20838,-0.8437399922899551,14,0.0
20839,-0.7661444913975686,3,0.0
20840,-0.7628041167567187,3,0.0
20842,-0.7813817412849303,3,0.0
20843,-0.7628041772504781,3,0.0
20845,-0.7628040776439197,3,0.0
20847,-0.7628043771778629,3,0.0
20850,-0.7628041598179659,3,0.0
20851,-0.7628041167567187,3,0.0
20852,-0.7628041167567187,3,0.0
20853,-0.7628040920536161,3,0.0
20854,-0.7628040920536161,3,0.0
20856,-0.7628040920536161,3,0.0
20857,-0.7772694392360912,3,0.0
20858,-0.7772694392360912,3,0.0
20859,-0.8470406697190864,20,0.0
20862,-0.8436910933429206,14,0.0
20863,-0.7661444913975686,3,0.0
20865,-0.8470411140842866,20,0.0
20866,-0.7628040776439197,3,0.0
20867,-0.7628040776439197,3,0.0
20868,-0.7628040322012064,3,0.0
20869,-0.7628042285461515,3,0.0
20870,-0.8449213832478484,19,0.0
20871,-0.7628040920536161,3,0.0
20873,-0.7628040920536161,3,0.0
20875,-0.7901237580665447,3,0.0
20876,-0.7643579234989771,3,0.0
20877,-0.7628041772504781,3,0.0
20878,-0.7628041772504781,3,0.0
20879,-0.7628040776439197,3,0.0
20880,-0.7628040559069771,3,0.0
20881,-0.8437386720570734,15,0.0
20883,-0.8804719218629508,3,0.0
20884,-0.7628046443833206,3,0.0
20885,-0.7628046443833206,3,0.0
20886,-0.7628046443833206,3,0.0
20887,-0.7628040322012064,3,0.0
20889,-0.7628041745814542,3,0.0
20891,-0.8437156666165044,14,0.0
20892,-0.8470405056423989,20,0.0
20893,-0.8428306703820889,13,0.0
20894,-0.8437156666165044,14,0.0
20896,-0.8443435468598685,15,0.0
20898,-0.5312668612488685,20,0.85
20900,-0.4983352693979122,20,0.9
20901,-0.845707592692661,20,0.0
20903,-0.8444630817503529,17,0.0
20904,-0.8443435468598685,15,0.0
20905,-0.8444630817503529,17,0.0
20906,-0.841719251700359,12,0.0
20907,-0.8416921884671007,11,0.0
20908,-0.6659056138852202,15,0.2
20909,-0.8810137630417663,3,0.0
20910,-0.8436916318507918,13,0.0
20911,-0.8470635189175113,22,0.0
20913,-0.5177587967360225,20,0.9
20914,-0.5889434466424496,20,0.55
20915,-0.845707592692661,20,0.0
20916,-0.8443435468598685,15,0.0
20917,-0.845707592692661,20,0.0
20918,-0.8444630817503529,17,0.0
20919,-0.8443435468598685,15,0.0
20920,-0.8436916318507918,13,0.0
20921,-0.8444630817503529,17,0.0
20922,-0.6907866637274356,17,0.11764705882352941
20923,-0.8481843766557552,26,0.0
20924,-0.8444630817503529,17,0.0
20925,-0.8428306703820889,13,0.0
20926,-0.845707592692661,20,0.0
20927,-0.7114780755141243,20,0.05
20928,-0.8428306703820889,13,0.0
20929,-0.7089807723438688,11,0.09090909090909091
20930,-0.6977208557955437,26,0.07692307692307693
20931,-0.688303140893311,20,0.1
20932,-0.845707592692661,20,0.0
20934,-0.8810137630417663,3,0.0
20958,-0.6363025608800723,15,0.3333333333333333
20995,-0.7157372134437184,15,0.06666666666666667
20996,-0.8437386720570734,15,0.0
20997,-0.8867550382333717,17,0.0
20998,-0.8443435468598685,15,0.0
20999,-0.8443435468598685,15,0.0
21003,-0.8443435468598685,15,0.0
21004,-0.8457036258143551,19,0.0
21005,-0.8443435468598685,15,0.0
21006,-0.7021184606572112,13,0.07692307692307693
21007,-0.6508918613195807,15,0.26666666666666666
21008,-0.7157372134437184,15,0.06666666666666667
21010,-0.6663765939224673,21,0.19047619047619047
21011,-0.6032779013498752,18,0.5555555555555556
21012,-0.8867550382333717,17,0.0
21013,-0.8810137630417663,3,0.0
21014,-0.7628043279090435,3,0.0
21015,-0.7157372134437184,15,0.06666666666666667
21016,-0.8810137630417663,3,0.0
21017,-0.8443435468598685,15,0.0
21018,-0.8428306703820889,13,0.0
21019,-0.8428306703820889,13,0.0
21020,-0.8443435468598685,15,0.0
21022,-0.609058932848969,18,0.4444444444444444
21023,-0.8456844057947289,18,0.0
21024,-0.8456844057947289,18,0.0
21025,-0.8428306703820889,13,0.0
21029,-0.8444630817503529,17,0.0
21030,-0.6901008163981905,12,0.08333333333333333
21031,-0.8436916318507918,13,0.0
21032,-0.841719251700359,12,0.0
21033,-0.8444630817503529,17,0.0
21035,-0.8444630817503529,17,0.0
21036,-0.8443435468598685,15,0.0
21037,-0.8444630817503529,17,0.0
21038,-0.8428306703820889,13,0.0
21040,-0.8449219139051592,18,0.0
21041,-0.7100203400942638,15,0.06666666666666667
21042,-0.7628046443833206,3,0.0
21043,-0.7628046443833206,3,0.0
21044,-0.7628046443833206,3,0.0
21046,-0.8443435468598685,15,0.0
21048,-0.8456844057947289,18,0.0
21050,-0.8456844057947289,18,0.0
21053,-0.8458718906741907,19,0.0
21054,-0.8864302279243077,19,0.0
21055,-0.886780681045519,19,0.0
21057,-0.6706696502630561,18,0.16666666666666666
21059,-0.5870804957301586,18,0.6111111111111112
21062,-0.6006460843446834,18,0.5
21063,-0.5789441495932238,15,0.6666666666666666
21064,-0.00018839001836415279,18,1.0
21065,-0.6451170094306153,17,0.29411764705882354
21066,-0.00018712880752956573,18,1.0
21068,-0.5943816856658748,18,0.5555555555555556
21070,-0.5295741861792572,18,0.8333333333333334
21074,-0.841719251700359,12,0.0
21075,-0.7034332083883713,13,0.07692307692307693
21077,-0.8428306703820889,13,0.0
21078,-0.8428954123549446,13,0.0
21083,-0.8443435468598685,15,0.0
21086,-0.841719251700359,12,0.0
21087,-0.8456844057947289,18,0.0
21088,-0.8456844057947289,18,0.0
21089,-0.647918360728872,19,0.21052631578947367
21093,-0.8443435468598685,15,0.0
21094,-0.841719251700359,12,0.0
21095,-0.8443435468598685,15,0.0
21097,-0.8456844057947289,18,0.0
21098,-0.8428306703820889,13,0.0
21101,-0.8443435468598685,15,0.0
21102,-0.8443435468598685,15,0.0
21104,-0.841719251700359,12,0.0
21106,-0.8443435468598685,15,0.0
21107,-0.8437386720570734,15,0.0
21110,-0.8456844057947289,18,0.0
21111,-0.8456844057947289,18,0.0
21112,-0.7628046443833206,3,0.0
21113,-0.7628046443833206,3,0.0
21114,-0.7628046443833206,3,0.0
21115,-0.8445263874555734,18,0.0
21117,-0.8810137630417663,3,0.0
21118,-0.8443435468598685,15,0.0
21119,-0.8444420428986624,16,0.0
21121,-0.8443435468598685,15,0.0
