confirmed_canonical_name,confirmed_sparcnet_name,sigma_sz,theta_sz,l_sz,sigma_lpd,theta_lpd,l_lpd,sigma_gpd,theta_gpd,l_gpd,sigma_lrda,theta_lrda,l_lrda,sigma_grda,theta_grda,l_grda,sigma_iic,theta_iic,l_iic,sigma_spike,theta_spike,l_spike
Peter Kaplan,Peter Kaplan,0.7149201742181822,2.0,0.3355843869709297,0.7854353542629625,1.5906006057108852,0.2415171235109271,0.603798762993503,2.0,0.5045143104138772,0.6525225963778538,2.0,0.4269095099207655,0.6779059777479989,1.6652451521646623,0.3887466765460387,0.7304900520536598,0.4118760773742123,0.3140396658804675,0.6251239206825501,-0.0497095967806635,0.46980537580716714
Rani Sarkis,Rani Sarkis,0.5732711469767583,1.4934299678885623,0.5563964683008771,0.6012602991690851,1.195296556413972,0.508727328113724,0.6018598109826517,1.619934966731271,0.5077307329140798,0.6381808230391929,1.3172649841780526,0.4491336141021626,0.5385072933415077,1.4614057914258982,0.6189542386677396,0.7037880381090054,-0.374027005316243,0.351278050389976,0.6389736423679327,0.18345523235762,0.4478920737058312
Sahar Zafar,Sahar Zafar,0.7030674923045453,1.5095742076525296,0.3523023856566564,0.7776506073532521,1.238217364327898,0.2514779464808113,0.6963545393530762,1.9393991297115192,0.3618963527233882,0.6925582722993636,1.8520270390182936,0.3673628967361518,0.6770278146719498,2.0,0.390042921726317,0.5992533198125348,0.2341722081552409,0.5120708657371651,0.5539129739420124,0.2044765736189507,0.5907476913215385
Sarah Schmitt,Sarah Schmitt,0.5643050277314334,1.3322253047093695,0.572160344368489,0.5967074924906475,0.4899923084591729,0.5163282479875214,0.7046049342605296,1.419099160579398,0.3501180101751239,0.6024745964655248,1.6717083163843085,0.5067097780489316,0.5758177413422425,2.0,0.551964089638851,0.5511770410743017,-0.5827968013112216,0.5956992127730028,0.515979356974887,-0.3680740412860632,0.6616885201634524
Zubeda Sheikh,Zubeda Sheikh,0.6944564020245162,1.2854515561154252,0.3646258948208497,0.7011868368202914,0.8103168985474026,0.3549808984725108,0.6846566936072415,1.733572129730294,0.3788377435668958,0.6061205713358844,1.6848633092787275,0.5006763501027865,0.6195822813014652,2.0,0.4787097678440238,0.5698685502128475,-0.2660087368972623,0.5623495584106316,0.9681994276463284,0.7024828983661288,0.03231719262903304
Jin Jing,Jin Jing,0.2749486943028219,0.262727185467539,1.2911707648927555,0.5952633313996508,1.1873152936034328,0.518751397562471,,,,0.4210719483680019,1.1584181552517012,0.8649515611649347,0.445872535449593,1.2903356867981883,0.8077221627653037,0.5260929613461228,-0.8551346521540046,0.6422773492626012,0.7105162515119448,-0.31603653311917,0.34176345836111915
Emily Johnson,Emily Johnson,0.6045110453228123,1.5108037357309558,0.5033353372616083,0.6536768181613882,0.7926088631368043,0.4251422114958755,0.6311134397544969,1.7876124122825894,0.4602696548581229,0.5809244802597858,0.9347708424461112,0.5431345129198228,0.5903767551211413,1.490097969685996,0.5269943778782296,0.5131314644629956,-0.7533742440332991,0.6672232006321546,,,
Brian Appavu,Brian Appavu,0.7333507837624762,1.3949311056254927,0.3101311325472205,0.7350148178420433,1.595772145319207,0.3078646196432065,0.8261041211303194,2.0,0.1910344587681866,0.7830712758574483,1.7131653623859326,0.244531557942096,0.8172800373714417,1.294103013654855,0.2017734798514109,1.054724831482651,-0.1762873191154556,-0.0532799096685397,,,
Arcot Jayagopal Lakshman Narain,Arcot Jayagopal Lakshman Narain,0.7377747372881817,1.38611259014069,0.3041167350019057,0.5405328203768673,1.542811436910953,0.6151999214950219,0.5529844562024272,1.6868246024550522,0.5924253859878863,0.5852847207055,1.4048823276863764,0.535656848090629,0.5662848937575512,1.3337619078456422,0.5686579815535916,0.5744552350041515,-0.1758085676146691,0.5543331046523895,,,
Monica Dhakar,Monica Dhakar,0.7371547070644627,1.6344838944725946,0.3049574942160046,0.6425910682422171,2.0,0.4422467318021787,0.7950640133977804,2.0,0.229332647572158,,,,0.5918485303448424,2.0,0.5245045377400992,0.5595526580577957,0.7951506543079786,0.5806176393803609,,,
Nicolas Gaspard,Nicolas Gaspard,0.6522813494444974,0.7183948317182455,0.4272792925794978,0.687894376432387,1.603312460351182,0.3741199754619426,0.8356187754240386,2.0,0.1795827801600595,0.7380945347452211,1.917621958371748,0.3036833667245055,0.6132939422048732,2.0,0.4889109437756752,0.7131813093322088,0.1405638301766113,0.3380196001057519,,,
Mackenzie C. Cervenka,Mackenzie C. Cervenka,0.5642707524138326,1.2389982501061343,0.5722210852034676,0.6877975509550853,1.4148907363570495,0.374260741683702,0.857053711071472,1.888341016154046,0.1542546889859726,0.5577462784322742,0.7600060339517029,0.5838511181574232,0.4842929511360428,0.3667544197187197,0.7250652844258442,0.6033467878188548,-1.389872570389808,0.5052631433867768,,,
Mohammad Tabaeizadeh F.,Mohammad Tabaeizadeh F.,0.6415916374541312,1.1631864579066944,0.4438032564079613,0.454720992225654,0.7279184118310495,0.7880712520172536,0.6399208183351907,1.407323971760488,0.4464108316338018,0.02,1.972919197764537,3.912023005428146,0.5846923267728544,1.31393866167319,0.5366695072441504,0.5488970388933939,-0.2747257975311606,0.5998443980602762,,,
Christa Swisher,Christa Swisher,0.5944683520571259,1.6626925938868289,0.5200877988231862,0.6428887176872575,1.1461285964925498,0.4417836370828096,0.7147299482352545,1.9816574701743208,0.335850502408634,0.5867755215388901,1.978229758415208,0.5331129487523112,0.5709360199041318,2.0,0.5604781248087808,0.6562042314067795,0.1031068823644551,0.4212832101266737,,,
Andres Rodriguez,Andres Rodriguez,0.8322171188041961,1.8495907282214128,0.1836619121038957,0.8172274795284401,1.9831566916580936,0.20183779016198,0.8319711163484725,2.0,0.1839575546908568,0.5863197967553085,2.0,0.5338899100092529,0.7008998719055936,2.0,0.3553902382329105,0.6361670337786812,0.824781978297372,0.4522941183962036,,,
Eric S. Rosenthal,Eric S. Rosenthal,0.5807523554285293,1.1360886884863426,0.5434308515007916,0.5691200727689746,0.5739587302964761,0.563663842919731,0.7453683234345923,1.2693840578964222,0.2938767889030261,0.5419762196151396,1.2449257257584272,0.6125331537538575,0.6394395032764274,1.4418979169366324,0.4471632624749663,0.6157322810797441,-0.7368561234431835,0.4849430185551024,,,
Jong Woo Lee,Jong Woo Lee,0.7763761355104055,1.224693644616813,0.2531181655239224,0.6492874749988072,1.291988451150501,0.4318797096602079,0.7876414049883137,2.0,0.2387123625117333,0.7004088095144978,1.7025144151610638,0.3560911008161627,0.5908173695556761,0.8238660587043266,0.5262483286966996,0.7473735137985721,-0.5637516728818234,0.2911902003449162,,,
Holmes Manisha,Holmes Manisha,0.6231633933626194,0.8041394302327222,0.4729465259412529,0.7711292839224451,1.730748598697719,0.2598992360488062,0.740160213877759,2.0,0.3008886109775839,0.5870897595702858,2.0,0.5325775584584524,0.7283063559797814,1.885711399299535,0.3170335006512418,0.9100518082350116,0.2070810459245257,0.0942537489654269,,,
Emily Gilmore,Emily Gilmore,0.7176792977372162,1.2523104858362342,0.3317324702495676,0.7813738948498645,1.4544850556578548,0.2467015050970357,0.7051276322765502,2.0,0.3493764538652524,0.7248483246163429,2.0,0.3217928534401224,0.4739918581252416,2.0,0.7465651343855532,0.7220686659325919,0.3963863385378215,0.3256350394417259,,,
