rater_id,canonical_name,aliases,groups,expertise_level,affiliation,years_eeg,neurologist,epileptologist,board_certified,read_eeg_flag,rct_arm,trial_pool,n_segments_scored_roster,is_person
19,Brendan Thomas,"[""'Brendan Thomas'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
20,Brian Appavu,"[""'Brian Appavu'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
21,Brian L Edlow,"[""'Brian L Edlow'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
22,Carlos Muniz,"[""'Carlos Muniz'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
23,Catherine Chu,"[""'Catherine Chu'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
24,Chinasa Nwankwo,"[""Chinasa Nwankwo""]","[""Bonobo""]",expert,,,False,False,False,False,,,452.0,True
25,Chris M. McGraw,"[""'Chris M. McGraw'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
26,Christa Swisher,"[""'Christa Swisher'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
27,Christine Merloni,"[""'Christine Merloni'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
28,Christine Scott,"[""'Christine Scott'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
29,Christopher McGraw,"[""'Christopher McGraw'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
30,Claire Jacobs,"[""'Claire Jacobs'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
31,Courtney J. Mitchell,"[""'Courtney J. Mitchell'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
32,Dan Rubin,"[""'Dan Rubin'"", ""Dan-Rubin""]","[""New28"", ""sparcnet50K""]",experienced,MGH,5.0,True,False,True,False,,,1000.0,True
33,Dan Weber,"[""Dan Weber""]","[""Bonobo""]",expert,,,False,False,False,False,,,930.0,True
34,Daniel Hoch,"[""'Daniel Hoch'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
35,David Lerner,"[""'David Lerner'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
36,David T. Hsieh,"[""'David T. Hsieh'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
37,Deborah Green,"[""'Deborah Green'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
38,Deepti Zutshi,"[""'Deepti Zutshi'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
39,Deirdre O''Rourke,"[""'Deirdre O''Rourke'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
40,Diego Carvalho,"[""'Diego Carvalho'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
41,Douglas Maus,"[""'Doug Maus'"", ""doug""]","[""Super8"", ""sparcnet50K""]",expert,,,False,False,False,False,,,13827.0,True
42,Eddy Amorim,"[""'Eddy Amorim'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
43,Eliezer Sternberg,"[""'Eliezer Sternberg'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
44,Elissa Ye,"[""Elissa-Ye""]","[""New28""]",novice,Massachusetts General Hospital,0.0,False,False,False,False,,,1000.0,True
45,Elizabeth Baker,"[""'Elizabeth Baker'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
46,Emily Gilmore,"[""'Emily Gilmore'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
47,Emily Johnson,"[""'Emily Johnson'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
48,Emily Thorn,"[""'Emily Thorn'""]","[""sparcnet50K""]",novice,,,,,,,,,,True
49,Eric S. Rosenthal,"[""'Eric S. Rosenthal'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
50,Erica Boyce,"[""'Erica Boyce'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
51,Esmaeili Behnaz,"[""'Esmaeili Behnaz'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
52,Expert_x,"[""'Expert_x'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
53,Expert_y,"[""'Expert_y'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
54,Expert_z,"[""'Expert_z'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
55,Fabio A. Nascimento,"[""Fabio A. Nascimento""]","[""Bonobo"", ""iiic_crowdsourcing:kong2025""]",expert,,,False,False,False,False,,,1690.0,True
56,Faheem Sheriff,"[""'Faheem Sheriff'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
57,Fonda Chan,"[""'Fonda Chan'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
58,GT,"[""GT""]","[""New28""]",novice,LMH,0.5,True,False,True,False,,,867.0,True
59,Gabe Mertz,"[""Gabe""]","[""New28""]",expert,Hartford Healthcare,9.0,True,True,True,False,,,1000.0,True
60,Gamal Osman,"[""'Gamal Osman'"", ""Osman Gamaleldin""]","[""Bonobo"", ""sparcnet50K""]",expert,,,False,False,False,False,,,1383.0,True
61,Geovanina Coral,"[""'Geovanina Coral'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
62,Gina Deck,"[""'Gina Deck'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
63,Gireesh Elakkat,"[""'Gireesh Elakkat'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
64,Gold Jacquelyn,"[""'Gold Jacquelyn'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
65,Graham R. Huesmann,"[""'Graham R. Huesmann'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
66,Hiba A. Haider,"[""'Hiba Arif'"", ""Hiba A. Haider""]","[""Bonobo"", ""sparcnet50K""]",expert,,,False,False,False,False,,,1383.0,True
67,Holmes Manisha,"[""'Holmes Manisha'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
68,IIIC_crowd,"[""IIIC_crowd""]","[""profiler_iiic""]",expert,,,,,,,,,,False
69,Illya Tolokh,"[""'Illya Tolokh'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
70,Ioannis Karakis,"[""'Ioannis Karakis'"", ""ioannis""]","[""Super8"", ""sparcnet50K""]",expert,,,False,False,False,False,,,15670.0,True
71,Jake Hogan,"[""Jake-Hogan""]","[""New28""]",novice,MGH,0.0,False,False,False,False,,,1000.0,True
72,Jay Pathmanathan,"[""'Jay Pathmanathan'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
73,Jenn Kim,"[""'Jenn Kim'"", ""Jenn-Kim""]","[""New28"", ""sparcnet50K""]",experienced,Yale,3.0,True,False,False,False,,,1000.0,True
74,Jennifer William,"[""'Jennifer William'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
75,Jesse Lassor,"[""'Jesse Lassor'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
76,Ji Yeoun Yoo,"[""'Ji Yeoun Yoo'"", ""Jiyeoun Yoo""]","[""Bonobo"", ""sparcnet50K""]",expert,,,False,False,False,False,,,1861.0,True
77,Jimmy Yang,"[""'Jimmy Yang'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
78,Jin Jing,"[""'Jin Jing'"", ""jj""]","[""New28"", ""sparcnet50K"", ""iiic_crowdsourcing:kong2025""]",experienced,,,False,False,False,False,,,2868.0,True
79,Jonathan J. Halford,"[""'Jon Halford'"", ""jon""]","[""Super8"", ""sparcnet50K""]",expert,,,False,False,False,False,,,14282.0,True
80,Jong Woo Lee,"[""'Jong Woo Lee'""]","[""sparcnet50K"", ""iiic_crowdsourcing:kong2025""]",expert,,,,,,,,,,True
81,Joseph Cohen,"[""'Joseph Cohen'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
82,Julia Carlson,"[""Julia-Carlson""]","[""New28""]",novice,MGH,3.0,True,False,False,False,,,1000.0,True
83,Kara Houghton,"[""'Kara Houghton'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
84,Karan Poddar,"[""'Karan Poddar'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
85,Kenneth C. Sassower,"[""'Kenneth C. Sassower'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
86,Klein,"[""'Klein'""]","[""sparcnet50K""]",,,,,,,,,,,True
87,Kristy Nordstrom,"[""'Kristy Nordstrom'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
88,Kristy Tripp,"[""'Kristy Tripp'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
89,Lara Basovic,"[""LB""]","[""profiler_iiic""]",expert,,,,,,,,,,True
90,Lidia Moura,"[""'Lidia Moura'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
91,Lily Grossmann,"[""'Lily Grossmann'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
92,Linda Naughton,"[""'Linda Naughton'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
93,Lindsay Joslyn,"[""Lindsay-Joslyn""]","[""New28""]",experienced,Hartford Hospital,4.0,False,False,False,False,,,1000.0,True
94,Lindsay Skinner,"[""'Lindsay Skinner'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
95,Lisa Dümmer,"[""Lisa-Du\u0308mmer""]","[""New28""]",novice,MGH,0.0,False,False,False,False,,,1000.0,True
96,Lucia Nguyen,"[""'Lucia Nguyen'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
97,M. Brandon Westover,"[""'M. Brandon Westover'"", ""MW"", ""mbw""]","[""Super8"", ""profiler_iiic"", ""sparcnet50K"", ""iiic_crowdsourcing:kong2025""]",expert,,,False,False,False,False,,,15670.0,True
98,Mackenzie C. Cervenka,"[""'Mackenzie C. Cervenka'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
99,Marcos Santana Firme,"[""'Marcos Santana Firme'""]","[""sparcnet50K""]",novice,,,,,,,,,,True
100,Marcus Ng,"[""'Marcus Ng'"", ""marcus""]","[""Super8"", ""sparcnet50K""]",expert,,,False,False,False,False,,,15670.0,True
101,Marjan Dolatshahi,"[""'Marjan Dolatshahi'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
102,Martinez-Ramirez Sergi,"[""'Martinez-Ramirez Sergi'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
103,Mason Xenos,"[""'Mason Xenos'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
104,Mastefa,"[""'Mastefa'""]","[""sparcnet50K""]",novice,,,,,,,,,,True
105,Mathew J. Pulicken,"[""'Mathew J. Pulicken'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
106,Maurice Abou Jaoude,"[""Maurice-Abou-Jaoude""]","[""New28""]",experienced,MGH,0.0,False,False,False,False,,,1000.0,True
107,Melissa Walker,"[""'Melissa Walker'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
108,Michael Ho,"[""'Michael Ho'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
109,Mo Shafi,"[""'Mo Shafi'"", ""Mo-Shafi""]","[""New28"", ""sparcnet50K""]",expert,BIDMC,9.0,True,True,True,False,,,1000.0,True
110,Mohammad Tabaeizadeh F.,"[""'Mohammad Tabaeizadeh F.'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
111,Mohaned Osman,"[""'Mohaned Osman'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
112,Monica Dhakar,"[""'Monica Dhakar'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
113,Mouhsin Shafi,"[""'Mouhsin Shafi'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
114,Neishay Ayub,"[""'Neishay Ayub'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
115,Nicolas Gaspard,"[""'Nicolas Gaspard'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
116,Nigel Pedersen,"[""'Nigel Pedersen'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
117,Nitish Harid,"[""'Nitish Harid'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
118,Nitish M. Harid,"[""NMH""]","[""New28""]",expert,MGH,1.0,False,True,False,False,,,1000.0,True
119,Olga Selioutski,"[""Olga Selioutski""]","[""Bonobo""]",expert,,,False,False,False,False,,,1861.0,True
120,Olga Taraschenko,"[""'Taraschenko Olha'"", ""Olga Taraschenko""]","[""Bonobo"", ""sparcnet50K""]",expert,,,False,False,False,False,,,1861.0,True
121,Omar AL-Louzi,"[""'Omar AL-Louzi'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
122,Patrick Georges,"[""'Patrick Georges'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
123,Paul,"[""'Paul'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
124,Peter Hadar,"[""PH""]","[""profiler_iiic""]",expert,,,,,,,,,,True
125,Peter Kaplan,"[""'Peter Kaplan'"", ""peter-kaplan""]","[""New28"", ""sparcnet50K""]",expert,Johns Hopkins,35.0,True,True,True,False,,,1000.0,True
126,Peter Wrigley,"[""'Peter Wrigley'""]","[""sparcnet50K""]",novice,,,,,,,,,,True
127,R01_jj,"[""R01_jj""]","[""spikeed_resident_jj""]",novice,mgb,0.0,True,False,False,False,Control,500-SpikeEd,500.0,True
128,R01_post,"[""R01_post""]","[""spikeed_resident_post""]",novice,mgb,0.0,True,False,False,False,Control,500-SpikeEd,500.0,True
129,R01_pre,"[""R01_pre""]","[""spikeed_resident_pre""]",novice,mgh,0.0,True,False,False,False,Control,500-SpikeEd,500.0,True
130,R02_post,"[""R02_post""]","[""spikeed_resident_post""]",novice,mgh,0.0,False,False,False,False,Int2,500-SpikeEd,500.0,True
131,R02_pre,"[""R02_pre""]","[""spikeed_resident_pre""]",novice,mgh,0.0,False,False,False,False,Int2,500-SpikeEd,500.0,True
132,R03_post,"[""R03_post""]","[""spikeed_resident_post""]",novice,mgb,0.0,True,False,False,False,Control,500-SpikeEd,500.0,True
133,R03_pre,"[""R03_pre""]","[""spikeed_resident_pre""]",novice,mgh bwh,0.0,True,False,False,False,Control,500-SpikeEd,500.0,True
134,R04_jj,"[""R04_jj""]","[""spikeed_resident_jj""]",novice,yale school of medicine,0.5,True,False,False,False,Int1,500-SpikeEd,500.0,True
135,R04_post,"[""R04_post""]","[""spikeed_resident_post""]",novice,yale school of medicine,0.5,True,False,False,False,Int1,500-SpikeEd,500.0,True
136,R04_pre,"[""R04_pre""]","[""spikeed_resident_pre""]",novice,yale school of medicine,0.0,True,False,False,False,Int1,500-SpikeEd,500.0,True
137,R05_jj,"[""R05_jj""]","[""spikeed_resident_jj""]",novice,yale,0.0,True,False,False,False,Int1,500-SpikeEd,500.0,True
138,R05_post,"[""R05_post""]","[""spikeed_resident_post""]",novice,yale new haven hospital,0.0,True,False,False,False,Int1,500-SpikeEd,500.0,True
139,R05_pre,"[""R05_pre""]","[""spikeed_resident_pre""]",novice,yale new haven hospital,0.0,True,False,False,False,Int1,500-SpikeEd,500.0,True
140,R06_jj,"[""R06_jj""]","[""spikeed_resident_jj""]",novice,yale,0.0,False,False,False,False,Int1,500-SpikeEd,500.0,True
141,R06_post,"[""R06_post""]","[""spikeed_resident_post""]",novice,yale,0.0,False,False,False,False,Int1,500-SpikeEd,500.0,True
142,R06_pre,"[""R06_pre""]","[""spikeed_resident_pre""]",novice,yale,0.0,False,False,False,False,Int1,500-SpikeEd,500.0,True
143,R07_post,"[""R07_post""]","[""spikeed_resident_post""]",novice,mgh,0.0,True,False,False,False,Control,500-SpikeEd,500.0,True
144,R07_pre,"[""R07_pre""]","[""spikeed_resident_pre""]",novice,mgh,0.0,True,False,False,False,Control,500-SpikeEd,500.0,True
145,R08_jj,"[""R08_jj""]","[""spikeed_resident_jj""]",novice,yale,0.0,False,False,False,False,Int1,500-SpikeEd,500.0,True
146,R08_post,"[""R08_post""]","[""spikeed_resident_post""]",novice,yale university,0.0,False,False,False,False,Int1,500-SpikeEd,500.0,True
147,R08_pre,"[""R08_pre""]","[""spikeed_resident_pre""]",novice,yale new haven hospital,0.0,False,False,False,False,Int1,500-SpikeEd,500.0,True
148,R09_post,"[""R09_post""]","[""spikeed_resident_post""]",novice,mgh,0.0,True,False,False,False,Control,500-SpikeEd,500.0,True
149,R09_pre,"[""R09_pre""]","[""spikeed_resident_pre""]",novice,bwh/mgh,0.0,True,False,False,False,Control,500-SpikeEd,500.0,True
150,R10_post,"[""R10_post""]","[""spikeed_resident_post""]",novice,mgh,0.0,True,False,False,False,Control,500-SpikeEd,500.0,True
151,R10_pre,"[""R10_pre""]","[""spikeed_resident_pre""]",novice,mgh,0.0,True,False,False,False,Control,500-SpikeEd,500.0,True
152,R11_post,"[""R11_post""]","[""spikeed_resident_post""]",novice,mgh,0.0,False,True,False,False,Int2,500-SpikeEd,500.0,True
153,R11_pre,"[""R11_pre""]","[""spikeed_resident_pre""]",novice,mgh,1.0,False,True,False,False,Int2,500-SpikeEd,500.0,True
154,R12_post,"[""R12_post""]","[""spikeed_resident_post""]",novice,mass general brigham,,True,False,False,False,Int2,500-SpikeEd,500.0,True
155,R12_pre,"[""R12_pre""]","[""spikeed_resident_pre""]",novice,mass general brigham,,True,False,False,False,Int2,500-SpikeEd,500.0,True
156,R13_post,"[""R13_post""]","[""spikeed_resident_post""]",novice,yan,0.0,True,False,False,False,Int2,500-SpikeEd,500.0,True
157,R13_pre,"[""R13_pre""]","[""spikeed_resident_pre""]",novice,yale,,True,False,False,False,Int2,500-SpikeEd,500.0,True
158,R14_post,"[""R14_post""]","[""spikeed_resident_post""]",novice,mgh/bwh,0.0,True,False,False,False,Control,500-SpikeEd,500.0,True
159,R14_pre,"[""R14_pre""]","[""spikeed_resident_pre""]",novice,mgh/bwh,0.0,True,False,False,False,Control,500-SpikeEd,500.0,True
160,R15_jj,"[""R15_jj""]","[""spikeed_resident_jj""]",novice,pgy-1,0.0,True,False,False,False,Int1,500-SpikeEd,500.0,True
161,R15_post,"[""R15_post""]","[""spikeed_resident_post""]",novice,mgb,0.0,True,False,False,False,Int1,500-SpikeEd,500.0,True
162,R15_pre,"[""R15_pre""]","[""spikeed_resident_pre""]",novice,mgb,0.0,True,False,False,False,Int1,500-SpikeEd,500.0,True
163,R16_post,"[""R16_post""]","[""spikeed_resident_post""]",novice,yale,0.0,True,False,False,False,Int2,500-SpikeEd,500.0,True
164,R16_pre,"[""R16_pre""]","[""spikeed_resident_pre""]",novice,yale neurology,0.0,True,False,False,False,Int2,500-SpikeEd,500.0,True
165,R17_post,"[""R17_post""]","[""spikeed_resident_post""]",novice,mgh/bwh,0.0,True,False,False,False,Control,500-SpikeEd,500.0,True
166,R17_pre,"[""R17_pre""]","[""spikeed_resident_pre""]",novice,bwh/mgh,0.0,True,False,False,False,Control,500-SpikeEd,500.0,True
167,R18_jj,"[""R18_jj""]","[""spikeed_resident_jj""]",novice,yale neurology,0.0,False,False,False,False,Int1,500-SpikeEd,500.0,True
168,R18_post,"[""R18_post""]","[""spikeed_resident_post""]",novice,yale neurology,0.0,False,False,False,False,Int1,500-SpikeEd,500.0,True
169,R18_pre,"[""R18_pre""]","[""spikeed_resident_pre""]",novice,yale neurology,0.0,True,False,False,False,Int1,500-SpikeEd,500.0,True
170,R19_post,"[""R19_post""]","[""spikeed_resident_post""]",novice,mgh,0.0,False,True,False,False,Int2,500-SpikeEd,500.0,True
171,R19_pre,"[""R19_pre""]","[""spikeed_resident_pre""]",novice,mgh pgy-1,0.0,False,True,False,False,Int2,500-SpikeEd,500.0,True
172,R20_post,"[""R20_post""]","[""spikeed_resident_post""]",novice,mgb,0.0,True,False,False,False,Control,500-SpikeEd,500.0,True
173,R20_pre,"[""R20_pre""]","[""spikeed_resident_pre""]",novice,mgb,0.0,True,False,False,False,Control,500-SpikeEd,500.0,True
174,R21_pre,"[""R21_pre""]","[""spikeed_resident_pre""]",novice,yale,0.0,True,False,False,False,Int2,500-SpikeEd,500.0,True
175,Rani Sarkis,"[""'Rani Sarkis'"", ""ranisarkis""]","[""New28"", ""sparcnet50K""]",expert,BWH,10.0,False,True,True,False,,,1000.0,True
176,Rodrigo Zepeda,"[""'Rodrigo Zepeda'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
177,Ron Thibert,"[""'Ron Thibert'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
178,Roohi Katyal,"[""Roohi Katyal""]","[""Bonobo""]",expert,,,False,False,False,False,,,930.0,True
179,Ryan Gaudreau,"[""Ryan-Gaudreau""]","[""New28""]",novice,Hartford Hospital,0.0,False,False,False,False,,,1000.0,True
180,Sahar Zafar,"[""'Sahar Zafar'"", ""SZ"", ""Sahar-Zafar""]","[""New28"", ""profiler_iiic"", ""sparcnet50K""]",expert,Massachusetts General Hospital,4.0,True,True,True,False,,,1000.0,True
181,Sam Terman,"[""Sam-Terman""]","[""New28""]",expert,University of Michigan,2.0,True,True,False,False,,,1000.0,True
182,Sameen Jafari,"[""'Sameen Jafari'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
183,Samual Snider,"[""'Samual Snider'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
184,Sandipan Pati,"[""'Sandipan Pati'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
185,Sarah Schmitt,"[""'Sarah Schmitt'"", ""Sarah Schmitt""]","[""Bonobo"", ""sparcnet50K""]",expert,,,False,False,False,False,,,1395.0,True
186,Sean,"[""Sean""]","[""New28""]",novice,MGH CDAC,0.0,True,False,False,False,,,1000.0,True
187,Selim R. Benbadis,"[""Selim R. Benbadis""]","[""Bonobo""]",expert,,,False,False,False,False,,,1392.0,True
188,Shenda Hong,"[""Shenda""]","[""New28""]",novice,PKU,1.0,False,False,False,False,,,1000.0,True
189,Simon Chulak,"[""'Simon Chulak'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
190,Sonya Wang,"[""'Sonya Wang'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
191,Stephen W. Parker,"[""'Stephen W. Parker'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
192,Sue Herman,"[""'Sue Herman'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
193,Susan Monahan,"[""'Susan Monahan'""]","[""sparcnet50K""]",experienced,,,,,,,,,,True
194,Sydney S. Cash,"[""'Syd Cash'"", ""syd""]","[""Super8"", ""sparcnet50K""]",expert,,,False,False,False,False,,,13827.0,True
195,TZ,"[""TZ""]","[""profiler_iiic""]",expert,,,,,,,,,,True
196,Valeria Sacca,"[""Valeria""]","[""New28""]",experienced,UMG,3.0,False,False,False,False,,,1000.0,True
197,Wai Ying,"[""'Wai Ying'""]","[""sparcnet50K""]",novice,,,,,,,,,,True
198,Wei-Long Zheng,"[""Wei-Long-Zheng""]","[""New28""]",experienced,MGH,0.0,False,False,False,False,,,1000.0,True
199,Wendong Ge,"[""wendong""]","[""New28""]",novice,MGH,0.0,False,False,False,False,,,1000.0,True
200,William O. Tatum,"[""William O. Tatum""]","[""Bonobo""]",expert,,,False,False,False,False,,,1858.0,True
201,Yu Zhu,"[""Yu-Zhu""]","[""New28""]",expert,,6.0,True,True,True,False,,,1000.0,True
202,Yuan Fan,"[""'Yuan Fan'""]","[""sparcnet50K""]",expert,,,,,,,,,,True
203,Ziwei Fan,"[""Ziwei""]","[""New28""]",novice,MGH,1.0,False,False,False,False,,,1000.0,True
204,Zubeda Sheikh,"[""'Zubeda Sheikh'"", ""Zubeda Karim""]","[""Bonobo"", ""sparcnet50K""]",expert,,,False,False,False,False,,,931.0,True
205,corrected,"[""corrected""]","[""profiler_iiic""]",,,,,,,,,,,False
206,crowd_100195,"[""crowd_100195""]","[""Crowd""]",,,,False,False,False,True,,,,True
207,crowd_100311,"[""crowd_100311""]","[""Crowd""]",,,,False,False,False,False,,,,True
208,crowd_100327,"[""crowd_100327""]","[""Crowd""]",,,,False,False,False,False,,,,True
209,crowd_100531,"[""crowd_100531""]","[""Crowd""]",,,,False,False,False,True,,,,True
210,crowd_101152,"[""crowd_101152""]","[""Crowd""]",,,,False,False,False,False,,,,True
211,crowd_101216,"[""crowd_101216""]","[""Crowd""]",,,,False,False,False,False,,,,True
212,crowd_101297,"[""crowd_101297""]","[""Crowd""]",,,,False,False,False,False,,,,True
213,crowd_10155,"[""crowd_10155""]","[""Crowd""]",,,,False,False,False,False,,,,True
214,crowd_101554,"[""crowd_101554""]","[""Crowd""]",,,,False,False,False,False,,,,True
215,crowd_101606,"[""crowd_101606""]","[""Crowd""]",,,,False,False,False,False,,,,True
216,crowd_10184,"[""crowd_10184""]","[""Crowd""]",,,,False,False,False,False,,,,True
217,crowd_101954,"[""crowd_101954""]","[""Crowd""]",,,,False,False,False,False,,,,True
218,crowd_102014,"[""crowd_102014""]","[""Crowd""]",,,,False,False,False,False,,,,True
219,crowd_102184,"[""crowd_102184""]","[""Crowd""]",,,,False,False,False,False,,,,True
220,crowd_102191,"[""crowd_102191""]","[""Crowd""]",,,,False,False,False,False,,,,True
221,crowd_102252,"[""crowd_102252""]","[""Crowd""]",,,,False,False,False,False,,,,True
222,crowd_102534,"[""crowd_102534""]","[""Crowd""]",,,,True,True,False,False,,,,True
223,crowd_102582,"[""crowd_102582""]","[""Crowd""]",,,,False,False,False,False,,,,True
224,crowd_102642,"[""crowd_102642""]","[""Crowd""]",,,,False,False,False,False,,,,True
225,crowd_102777,"[""crowd_102777""]","[""Crowd""]",,,,False,False,False,True,,,,True
226,crowd_102832,"[""crowd_102832""]","[""Crowd""]",,,,False,False,False,False,,,,True
