task,seg_id,s_mean,s_sd,n_raters,pos_rate
spike,248,-0.4082287250557044,0.0643390650461861,157,0.2993630573248407
spike,249,-2.063503602183525,0.8304747060564751,50,0.0
spike,250,-0.6421401719472316,0.2699516629644696,14,0.0714285714285714
spike,251,-0.8617137002822516,0.1009285985690889,170,0.0764705882352941
spike,252,-1.211715014296115,0.1576725610006308,143,0.0769230769230769
spike,253,-1.0140981580458903,0.435487801609512,15,0.0666666666666666
spike,254,-1.2877747449361563,0.7453418704690202,12,0.0
spike,255,-1.2858361638914424,0.7555361168183967,21,0.0
spike,256,-1.7758420453975814,0.9204773864361436,19,0.0
spike,257,-0.1804995679232966,0.0508916297875758,170,0.4352941176470588
spike,259,-1.8798151371770744,0.9958309884926256,17,0.0
spike,260,-0.187769239298615,0.046339265803425,195,0.4
spike,261,-0.8440915197655117,0.1032426533642538,155,0.0967741935483871
spike,263,-0.2423649846921962,0.0634292422397023,95,0.4421052631578947
spike,264,-1.697207084766459,0.8768895630221465,18,0.0
spike,265,-0.5078839912826696,0.2143611993805832,18,0.1111111111111111
spike,266,-0.8455871160872246,0.096966267566426,163,0.1165644171779141
spike,267,-0.8739761892223351,0.1152257016643591,148,0.1216216216216216
spike,268,-1.7016246509661277,0.8879937140772306,16,0.0
spike,269,-1.206828533674447,0.1544229534227294,152,0.0855263157894736
spike,270,-1.043762836502702,0.1108322747366581,180,0.0944444444444444
spike,271,-1.0259966370565268,0.1341252134939064,162,0.0493827160493827
spike,272,-0.5492652792481644,0.2318643483859831,22,0.0909090909090909
spike,273,-1.5604099284086603,0.7444523961338856,25,0.0
spike,274,0.0105536184761917,0.0496331641238548,147,0.5306122448979592
spike,275,-0.9979992610156088,0.4351318225843997,17,0.1176470588235294
spike,276,-1.3574739448349349,0.763164096295975,11,0.0
spike,277,-0.786954976230943,0.0926210619279444,166,0.1024096385542168
spike,278,-0.8075923444466216,0.0931607703459494,159,0.1132075471698113
spike,279,-0.3884181738501051,0.0619511052072143,159,0.2578616352201258
spike,280,0.0905954537416305,0.0450354940585515,184,0.592391304347826
spike,281,-0.2111588877844191,0.0539633242253897,155,0.432258064516129
spike,282,-1.439901368797317,0.733606069527703,20,0.0
spike,283,-1.1764307060187766,0.1410864251129009,160,0.0875
spike,284,-1.1109365494392414,0.121006189646723,180,0.0722222222222222
spike,285,-0.5511386082822155,0.0774133968256956,147,0.2244897959183673
spike,286,-1.3493088582619197,0.7522027260640983,16,0.0
spike,287,-0.7715585744053703,0.0948197109797607,164,0.1219512195121951
spike,288,-0.8078602465172809,0.0932361083637162,180,0.1166666666666666
spike,289,-1.1630458866565403,0.1490581373026779,170,0.0705882352941176
spike,290,-1.4279693263809028,0.7730448165636788,19,0.0
spike,291,-1.3923344551625063,0.7561507847372365,13,0.0
spike,292,-1.1312464170109042,0.132124491434519,157,0.0828025477707006
spike,293,0.180049819601234,0.0488371225326874,154,0.6558441558441559
spike,294,-1.2779053571905428,0.7561641091038672,10,0.0
spike,295,-0.3969517868613963,0.0584333643687601,171,0.3040935672514619
spike,296,-1.3721906174171437,0.8492372790971552,13,0.0
spike,297,-1.3462529213889107,0.7515543437344964,13,0.0
spike,298,-1.2045777221854286,0.1388660370455246,189,0.0582010582010582
spike,299,-1.409010961210312,0.7978080052541217,12,0.0
spike,300,-1.2924534166564194,0.7482184091295939,16,0.0
spike,301,-0.727635844247255,0.0858845762789977,167,0.1437125748502994
spike,302,-0.556324881858708,0.236005512847809,15,0.1333333333333333
spike,303,-0.4126844207757868,0.2089696184353401,16,0.0625
spike,304,-1.2886448990630237,0.7541164991227566,17,0.0
spike,305,-1.082557852299182,0.1303950774588392,171,0.0584795321637426
spike,306,-0.6136033906236327,0.0835079734514402,146,0.1917808219178082
spike,307,-0.3045401769824044,0.2064645338270779,16,0.1875
spike,308,-1.4389091802231744,0.2015390712172838,165,0.0424242424242424
spike,309,-0.5259673765286036,0.2500073415479015,14,0.1428571428571428
spike,311,-1.563253673194832,0.81647299821541,14,0.0
spike,312,-1.3141363853890105,0.1791599473394746,159,0.050314465408805
spike,313,-0.9475324519306972,0.440094783903403,14,0.0714285714285714
spike,314,-0.5585023612508233,0.0713113243102377,169,0.1893491124260355
spike,315,-0.2176343625528959,0.0560483214739594,140,0.4
spike,316,-0.6860665504807114,0.2946776538586209,17,0.1764705882352941
spike,317,-1.149689238263824,0.1389944899070005,162,0.074074074074074
spike,318,-0.593798852288495,0.081942954501851,143,0.1678321678321678
spike,319,-1.2780028754915669,0.7581093243500857,14,0.0
spike,320,-0.2660076650554016,0.0521000458802321,179,0.3743016759776536
spike,321,-0.4908037689273073,0.1092812072372522,52,0.2115384615384615
spike,322,-0.2920682291309239,0.0592891025613816,155,0.3677419354838709
spike,323,-0.6196144823222788,0.0843780659313778,142,0.1830985915492957
spike,324,-1.3576235653000464,0.8085912935818833,17,0.0
spike,325,-0.3353921381797746,0.1767238282144048,19,0.1052631578947368
spike,326,-0.3933503969367927,0.059199642680356,171,0.2865497076023391
spike,327,-1.136190034978273,0.1256515843944899,169,0.0828402366863905
spike,328,-0.9638041936148554,0.1101272493833974,182,0.0934065934065934
spike,329,-0.8945740253286906,0.1859918861662136,65,0.0615384615384615
spike,330,-0.9430550091382895,0.3324117008325042,23,0.0434782608695652
spike,331,-0.2571865018472377,0.0759952017616256,55,0.2545454545454545
spike,332,-0.848764840637208,0.1022831605786925,158,0.1012658227848101
spike,333,-0.9611804488422212,0.1078509289370755,175,0.0857142857142857
spike,334,-0.5704804983567081,0.0717535983262568,170,0.2176470588235294
spike,335,0.141242769571115,0.0634445631197524,65,0.6307692307692307
spike,336,-1.098704574084949,0.1196892289532709,184,0.0869565217391304
spike,337,-1.2730813867355182,0.148024385674236,168,0.0416666666666666
spike,338,-1.388321392054799,0.7405662478097331,17,0.0
spike,339,-0.1629207000683574,0.1643999630654495,22,0.3636363636363636
spike,340,0.2489569637595675,0.0749821688254453,46,0.6956521739130435
spike,341,-0.7291175723540358,0.0831520853846499,175,0.1485714285714285
spike,342,-0.2469975029372642,0.1851820847441352,13,0.1538461538461538
spike,343,-0.4134347321314686,0.201358174528228,19,0.1578947368421052
spike,344,-1.356866141873336,0.3851874584322579,55,0.0363636363636363
spike,345,-1.5243388289699915,0.7585598892634485,21,0.0
spike,346,-1.4917136357754286,0.8137971661100842,18,0.0
spike,347,-1.331548158276082,0.7622038971182726,12,0.0
spike,348,-0.1767160812669974,0.0509976294750874,163,0.4478527607361963
spike,349,-1.3920634910199312,0.1815261962288321,171,0.0584795321637426
spike,350,-1.2937567190718935,0.7460352584292108,15,0.0
spike,351,-1.3158309807842872,0.7329589990980175,17,0.0
spike,352,-0.6013367158860075,0.245636977616334,15,0.1333333333333333
spike,353,-1.48730145998177,0.8199370336108375,17,0.0
spike,354,-0.7922871659859828,0.094393870098651,159,0.1383647798742138
spike,355,-0.5315334041850734,0.0704398969809368,163,0.2085889570552147
spike,356,-1.3453015245197115,0.7580675852779255,15,0.0
spike,357,-0.3703525859945612,0.2074566204021324,14,0.2142857142857142
spike,358,-1.2782018779925255,0.7557056453879414,12,0.0
spike,359,-0.5800803502459397,0.0744242602738556,167,0.1916167664670658
spike,360,-1.7450355006214482,0.9357382604782876,13,0.0
spike,361,-1.4927314140606918,0.7767152904603994,18,0.0
spike,362,-0.8007823258812233,0.0914753227511854,175,0.1485714285714285
spike,363,-0.9752412235608224,0.1141047923813952,151,0.0794701986754966
