task,seg_id,s_mean,s_sd
spike,204,-0.2811968029,0.1812406629
spike,205,-1.393304706,0.2561554015
spike,206,-1.551624775,0.9914560318
spike,207,-1.238803983,0.8379546404
spike,208,-1.569416165,0.2658201158
spike,209,-2.020701647,0.496614188
spike,210,-1.790946722,0.3864735663
spike,211,-1.731462002,0.3737768531
spike,212,-0.5553595424,0.1464920044
spike,213,-2.152343273,0.572976768
spike,214,-2.096092224,0.4831902385
spike,215,-0.2636991143,0.2240662128
spike,216,-0.6165070534,0.1376670897
spike,217,-1.31677866,0.27409935
spike,218,-2.170630455,0.573730886
spike,219,-2.078905106,0.4376543462
spike,220,-0.6927122474,0.1647841483
spike,221,-1.197582603,0.2643416226
spike,222,-0.8653512001,1.315641999
spike,223,-1.552781701,0.3322128356
spike,224,-1.828475952,1.277730703
spike,225,-0.8381257653,0.2620774508
spike,226,-2.116269588,0.5955518484
spike,227,-0.9996243715,0.2241749763
spike,228,-1.437026501,0.8299125433
spike,229,-1.56841886,0.3411016464
spike,230,-1.003785729,0.813975811
spike,231,-2.438365698,0.6748254895
spike,232,-1.746307254,1.134485483
spike,233,-1.773971081,1.157385826
spike,234,-1.905478358,0.4789659977
spike,235,-1.923081994,1.095334411
spike,236,-1.802193284,0.3929296136
spike,237,-0.9404776096,0.6666108966
spike,238,-0.6319364905,0.4379221499
spike,239,-1.95328629,0.4230109155
spike,240,-2.357411861,0.6084203124
spike,241,-2.326056004,0.4638115764
spike,242,-1.79385972,1.170336485
spike,243,-0.5929969549,0.1286899447
spike,244,-2.054520369,0.4736394882
spike,245,-1.981565118,1.140316486
spike,246,-2.365970135,0.5845835805
spike,247,-1.953155875,0.5140577555
spike,248,-1.043590784,0.2053548396
spike,249,-2.39834857,1.184527993
spike,250,-1.517970681,1.111307383
spike,251,-2.105883598,0.5804691315
spike,252,-2.12325716,0.5343869925
spike,253,-1.688911676,1.124002576
spike,254,-1.87018764,1.150658131
spike,255,-1.767904401,1.167295337
spike,256,-2.05278182,1.228747129
spike,257,-0.7501279712,0.1495630443
spike,258,-1.093911767,1.863521218
spike,259,-2.031388044,1.38650465
spike,260,-0.7753596306,0.137999177
spike,261,-1.987375379,0.5033724904
spike,262,-0.4965516627,2.327742338
spike,263,-0.8649792671,0.1892384589
spike,264,-2.0604949,1.311654091
spike,265,-1.263435483,0.7785433531
spike,266,-1.646900535,0.337823689
spike,267,-1.719977021,0.4206373692
spike,268,-2.069672346,1.322868228
spike,269,-2.098084211,0.5307992697
spike,270,-1.940177083,0.3967673779
spike,271,-2.183022976,0.6223377585
spike,272,-1.354309797,0.8713828921
spike,273,-2.073879242,1.180144429
spike,274,-0.5380511284,0.1360558718
spike,275,-1.629115701,1.112294555
spike,276,-1.808579206,1.229004145
spike,277,-2.04143858,0.5389723182
spike,278,-1.537933946,0.3231129348
spike,279,-1.034153223,0.2061685771
spike,280,-0.4460997283,0.1317270994
spike,281,-0.7970865369,0.1557253748
spike,282,-1.989875674,1.206918597
spike,283,-2.113654613,0.4937955737
spike,284,-2.158947706,0.5431072116
spike,285,-1.255774379,0.2664438188
spike,286,-1.826011419,1.204122186
spike,287,-1.578036308,0.3800000548
spike,288,-1.757144332,0.4097317755
spike,289,-1.968366027,0.4927642047
spike,290,-1.951530099,1.187476754
spike,291,-1.565590501,1.018009186
spike,292,-2.206112862,0.5835442543
spike,293,-0.3172853589,0.14794828
spike,294,-1.778918862,1.117614985
spike,295,-1.062589169,0.2002917826
spike,296,-1.781069517,1.244963646
spike,297,-1.832325578,1.189333558
spike,298,-2.226541042,0.5289798379
spike,299,-1.8348701,1.286005735
spike,300,-1.846487403,1.191457629
spike,301,-1.548061013,0.3165372312
spike,302,-1.314123034,0.779992938
spike,303,-1.68243742,1.270500779
spike,304,-1.839474678,1.2006464
spike,305,-2.431022644,0.6602099538
spike,306,-1.216835618,0.245696485
spike,307,-1.443082094,1.034569502
spike,308,-2.640341282,0.8227035999
spike,309,-1.19825685,0.8400551081
spike,310,-0.1932118833,2.477869987
spike,311,-1.951589704,1.171471357
spike,312,-2.248209238,0.5822866559
spike,313,-1.601599693,1.165460706
spike,314,-1.372648597,0.3024261892
spike,315,-0.8234210014,0.1562946141
spike,316,-1.318890333,0.91646415
spike,317,-2.342965126,0.581969738
spike,318,-1.287282228,0.3017061651
spike,319,-1.827525139,1.192415357
spike,320,-0.8482678533,0.1505647302
spike,321,-1.095681548,0.3624970019
spike,322,-0.8755504489,0.1832145005
spike,323,-1.471982002,0.3831678927
spike,324,-1.832867384,1.221099496
spike,325,-1.050318837,0.7390549183
spike,326,-0.9865626097,0.1950978041
spike,327,-2.175222874,0.5691612363
spike,328,-2.183342457,0.5500947237
spike,329,-1.865871668,0.8416996598
spike,330,-1.801707029,1.049836159
spike,331,-0.7890436649,0.2203655392
spike,332,-1.747738957,0.3736523092
spike,333,-2.005587101,0.4851316512
spike,334,-1.281254411,0.2606313527
spike,335,-0.353921622,0.1622387171
spike,336,-2.100313425,0.4333495498
spike,337,-2.645034552,0.6796799302
spike,338,-1.889395595,1.224895
spike,339,-0.7354696393,0.5879824162
spike,340,-0.2229443491,0.229920283
spike,341,-1.679447174,0.3782570064
spike,342,-0.8925086856,0.7233708501
spike,343,-1.223761082,0.8298136592
spike,344,-2.116565466,0.9434733391
spike,345,-1.975496411,1.165347815
spike,346,-1.97875607,1.147765517
spike,347,-1.419327497,0.9525460005
spike,348,-0.760288775,0.1428973973
spike,349,-2.413731575,0.561322391
spike,350,-1.827834725,1.158550143
spike,351,-1.884392977,1.140151978
spike,352,-1.367731571,0.8429473042
spike,353,-1.924418211,1.225669384
spike,354,-1.658452511,0.3946784139
spike,355,-1.372043967,0.2645901144
spike,356,-1.796687484,1.202939987
spike,357,-1.072368145,0.732324779
spike,358,-1.79139173,1.299728036
spike,359,-1.202287316,0.2222126573
spike,360,-2.015541315,1.220008731
spike,361,-1.958747029,1.11745882
spike,362,-1.616831183,0.3307049572
spike,363,-2.093159676,0.5028212667
spike,364,-1.816972017,1.205967069
spike,365,-2.142609596,0.4836276472
spike,366,-1.962028623,1.146449327
spike,367,-1.055164218,0.2012314796
spike,368,-0.6471640468,0.2279042155
spike,369,-0.333794713,0.2086351216
spike,370,-1.353429675,0.9481898546
spike,371,-0.3871851563,0.1311811358
spike,372,-1.865705848,0.7145465612
spike,373,-1.933204055,1.169406056
spike,374,-1.875545621,1.208398581
spike,375,-1.821998835,1.244853735
spike,376,-2.211849451,0.5528320074
spike,377,-0.884645164,0.6779997945
spike,378,-2.262546539,0.5468203425
spike,379,-1.605027914,0.9481716156
spike,380,-1.83754456,1.160421252
spike,381,-0.7703602314,0.1599192023
spike,382,-2.054521084,0.5975189209
spike,383,-0.685477972,0.1998114586
spike,384,-1.358507037,0.9122078419
spike,385,-1.182727814,0.8954459429
spike,386,-1.033283114,1.718333721
spike,387,-2.271087885,0.705254972
spike,388,-1.543033481,0.3298196197
spike,389,-2.292272091,0.5350983143
spike,390,-2.071314573,1.165545344
spike,391,-0.7243907452,0.231524542
spike,392,-1.394105315,0.7678776383
spike,393,-1.19411242,0.4148191512
spike,394,-0.7229475975,0.1994260848
spike,395,-2.381998301,0.5047917366
spike,396,-1.914699912,0.4269349575
spike,397,-1.661967635,0.3704244792
spike,398,-1.260508299,0.2798704505
spike,399,-2.482396603,0.6122193933
spike,400,-1.825332284,1.191342115
spike,401,-2.425600529,0.6368952394
spike,402,-2.231625319,0.4857097566
spike,403,-1.806880832,0.4742098749
spike,404,-1.590447068,0.3021638095
spike,405,-1.767783761,0.3839149773
spike,406,-1.823724151,1.24357748
spike,407,-2.489716768,0.6328908801
spike,408,-1.499469042,1.121823311
spike,409,-1.894991398,1.22262764
spike,410,-1.221023917,0.8506002426
spike,411,-0.4157358408,0.1300555915
spike,412,-2.167681456,1.268225789
spike,413,-0.2925093472,0.2106422782
spike,414,-0.9869142771,0.1772932857
spike,415,-1.881631136,1.10957551
spike,416,-1.972520709,1.232105017
spike,417,-2.139070749,0.5829352736
spike,418,-1.418561578,0.3277648687
spike,419,-2.013952017,1.035405397
spike,420,-1.864986062,1.157294512
spike,421,-0.6451271176,0.1328306496
spike,422,-0.7520045042,0.1516029239
spike,423,-1.869734406,0.4676987231
spike,424,-1.009951115,0.2980723083
spike,425,-1.910676003,0.4496837556
spike,426,-1.901290059,0.8485673666
spike,427,-2.249201775,0.5762867928
spike,428,-0.366234839,0.1396951526
spike,429,-2.032678127,0.4665779471
spike,430,-2.030789137,1.170885086
spike,431,-2.329334497,0.6251357794
spike,432,-1.10407567,0.2109663486
spike,433,-1.997856975,1.09849143
spike,434,-0.9923090935,0.8577957749
spike,435,-2.184915543,0.4978818297
spike,436,-1.898995638,1.141464472
spike,437,-2.30862093,0.5289716125
spike,438,-0.5471523404,0.1561765224
spike,439,-2.210492611,0.444704026
spike,440,-0.1803805232,0.2713553905
spike,441,-1.137016416,0.3394953609
spike,442,-2.477350473,1.239403963
spike,443,-1.909277797,1.279155731
spike,444,-1.824686766,1.14855814
spike,445,-0.606641829,0.1938314885
spike,446,-1.148764849,0.7016825676
spike,447,-1.828155994,1.285294175
spike,448,-1.923795581,0.414870888
spike,449,-1.344302893,0.81261307
spike,450,-0.8071677685,0.216374889
spike,451,-1.914540529,0.4415879548
spike,452,-1.808530211,1.190264821
spike,453,-2.345238924,0.6818900108
spike,454,-2.005589962,0.5118512511
spike,455,-1.760735989,1.146113396
spike,456,-0.7598863244,0.1789710373
spike,457,-1.08671701,0.2086488903
spike,458,-1.583730578,0.3598880768
spike,459,-2.041411877,0.4995740354
spike,460,-1.495117784,0.862541616
spike,461,-1.894602776,0.5167781115
spike,462,-1.9675771,1.32427752
spike,463,-0.1489674449,0.1779240817
spike,464,-2.592927933,0.7588986754
spike,465,-1.717125773,0.3492453098
spike,466,-1.865955353,0.4953338206
spike,467,-1.417509794,1.912605286
spike,468,-1.591727138,0.3174882233
spike,469,-0.5283084512,0.175120309
spike,470,-0.6660161018,0.1346968114
spike,471,-0.6312105656,0.1478539854
spike,472,-0.5021759272,0.1315252036
spike,473,-1.113452911,0.233944416
spike,474,-1.834779859,1.166499615
spike,475,-1.799172401,0.4689887762
spike,476,-1.956797957,0.4660873413
spike,477,-0.5184494853,0.1366166472
spike,478,-1.326592326,0.2690350413
spike,479,-1.417368412,0.9597107172
spike,480,-2.236392021,0.4958001971
spike,481,-0.9334583282,0.2001341283
spike,482,-1.302162886,0.2633455992
spike,483,-1.236809731,0.2281017601
spike,484,-2.411346674,0.5526192188
spike,485,-0.9357607365,0.1788657457
spike,486,-1.946048141,1.400277495
spike,487,-1.574288487,0.9996128082
spike,488,-2.273578882,0.7553688288
spike,489,-0.8337573409,0.2156439871
