task,seg_id,s_mean,s_sd
sz,21084,-0.9076176882,0.6225532293
sz,21085,-0.7896673679,0.6210232377
sz,21086,0.9952241778,0.08387432992
sz,21087,-0.7193958759,0.6861622334
sz,21088,-0.7349501252,0.655955255
sz,21089,-1.033454299,0.5925802588
sz,21090,-0.8810276985,0.672064662
sz,21091,-0.8858978748,0.6660997868
sz,21092,-0.9177433252,0.6496258974
sz,21093,-1.049823761,0.5256618261
sz,21094,-0.6763538122,0.6427063346
sz,21095,-0.7233478427,0.6945341825
sz,21096,-0.9509629011,0.6102984548
sz,21097,-0.686653018,0.6813588738
sz,21098,-0.6995450258,0.7074321508
sz,21099,-0.9160228968,0.6415675879
sz,21100,-0.9083760977,0.6244680882
sz,21101,-0.7152104378,0.6931089163
sz,21102,-0.7072022557,0.6773445606
sz,21103,-0.8615618944,0.620908618
sz,21104,-0.6966160536,0.6748577356
sz,21105,-0.9329895973,0.6358103752
sz,21106,-0.5331281424,0.4230895936
sz,21107,-0.9547661543,0.6240288019
sz,21108,-0.8334034681,0.6862849593
sz,21109,-0.8409867287,0.6675722003
sz,21110,-0.5787363052,0.6516102552
sz,21111,-1.129636168,0.4658969343
sz,21112,1.311878085,0.6484963298
sz,21113,1.347512245,0.6005321741
sz,21114,1.392527819,0.6235086918
sz,21115,-0.7195845842,0.6299723983
sz,21116,-0.8700987101,0.6340525746
sz,21117,-0.4455330372,0.8537403345
sz,21118,-0.723585248,0.7258697748
sz,21119,-0.6602788568,0.636695385
sz,21120,-0.8663724661,0.6511764526
sz,21121,0.5539090037,0.136150822
sz,21122,-0.7238748074,0.6500660181
sz,21123,-1.262121439,0.558486104
sz,21124,-0.5827797055,0.7532508373
sz,21125,0.5044841766,0.1239898801
sz,21126,-0.6944659948,0.7126181126
sz,21127,-0.6509582996,0.704536736
sz,21128,-0.8914376497,0.6297724843
sz,21129,-0.8684135675,0.640838325
sz,21130,-0.8544173241,0.6294869781
sz,21131,-0.7271876335,0.6768581271
sz,21132,-1.024158478,0.6333032846
sz,21133,-0.8705991507,0.6325572133
sz,21134,-0.8851397038,0.5924053788
sz,21135,-0.5111038089,0.8355374932
sz,21136,-0.5673288703,0.813336134
sz,21137,-0.8816988468,0.6342506409
sz,21138,-0.8179590702,0.6413026452
sz,21139,-0.8785815239,0.6447481513
sz,21140,-0.8100854158,0.6886068583
sz,21141,0.1332812607,0.2000677586
sz,21142,-0.874199152,0.6104835272
sz,21143,-0.963359952,0.6212292314
sz,21144,-0.7825468779,0.680870831
sz,21145,-0.8734374046,0.63484478
sz,21146,-0.8986809254,0.6411222816
sz,21147,-0.5834953785,0.8763431311
sz,21148,-0.8394559622,0.6307395697
sz,21149,-0.9592381716,0.5994726419
sz,21150,-1.143563271,0.5935109854
sz,21151,0.0412144959,0.9111714959
sz,21152,-0.8767780066,0.6669222116
sz,21153,-0.6756424308,0.7112293839
sz,21154,-0.9365720749,0.5999641418
sz,21155,-1.56581378,0.5904052258
